UniProtID,all_members_community,subclass
A0A438EIL3,Community1,CC-NLR
A0A438GGX7,Community1,CC-NLR
A0A443P202,Community1,CC-NLR
A0A0S3SEA6,Community1,CC-NLR
A0A127ZNM5,Community1,CC-NLR
A0A0L9V839,Community1,CC-NLR
A0A0L9V8C0,Community1,CC-NLR
A0A0L9V8K1,Community1,CC-NLR
A0A0S3SEI6,Community1,CC-NLR
A0A127ZNM9,Community1,CC-NLR
A0A127ZNN5,Community1,CC-NLR
A0A453ACK0,Community1,CC-NLR
A0A3B6C0M7,Community1,CC-NLR
A0A453ACG7,Community1,CC-NLR
A0A059A2V0,Community1,CC-NLR
A0A0E0CFP0,Community1,CC-NLR
A0A0S3SUE7,Community1,CC-NLR
A0A2P6PF57,Community1,CC-NLR
A0A6I9R1H3,Community1,CC-NLR
A0A2K3NS13,Community1,CC-NLR
A0A0D9XQI9,Community1,CC-NLR
A0A2S3IDG6,Community1,CC-NLR
A0A835BGK2,Community1,CC-NLR
F7J0M4,Community1,CC-NLR
K7U4Y0,Community1,CC-NLR
A0A3B6TAJ4,Community1,CC-NLR
C5Y8B2,Community1,CC-NLR
A0A0D9WVA2,Community1,CC-NLR
A0A0U2QME4,Community1,CC-NLR
A0A3S3QK23,Community1,CC-NLR
Q0ITQ3,Community1,CC-NLR
A0A0D3HJU9,Community1,CC-NLR
A0A0E0BH08,Community1,CC-NLR
A0A0E0ME24,Community1,CC-NLR
A0A1E5VEH6,Community1,CC-NLR
A0A2S3IDH7,Community1,CC-NLR
A0A2T7CLY5,Community1,CC-NLR
A0A3L6F639,Community1,CC-NLR
A0A453D1X4,Community1,CC-NLR
A0A835BLY6,Community1,CC-NLR
I1QYS1,Community1,CC-NLR
Q2R8I7,Community1,CC-NLR
A0A0E0J5C7,Community1,CC-NLR
A0A3B6AR62,Community1,CC-NLR
A0A3B6D5K1,Community1,CC-NLR
A0A3B6AQP3,Community1,CC-NLR
A0A0D3HKH3,Community1,CC-NLR
A0A0E0J0M5,Community1,CC-NLR
A0A6P5WLS8,Community1,CC-NLR
A0A3B6TC60,Community1,CC-NLR
A0A3B6R7Z3,Community1,CC-NLR
A0A3B6DL68,Community1,CC-NLR
A0A0E0P6U7,Community1,CC-NLR
A0A0E0RBD3,Community1,CC-NLR
A0A3B6B6R7,Community1,CC-NLR
A0A3B6CEJ0,Community1,CC-NLR
A0A3B6I3F6,Community1,CC-NLR
A0A6P4D7B6,Community1,CC-NLR
A0A7I8JMQ3,Community1,CC-NLR
A2XRG6,Community1,CC-NLR
M8CBF7,Community1,CC-NLR
Q0IZ28,Community1,CC-NLR
M8CWC1,Community1,CC-NLR
A0A1S3DYJ2,Community1,CC-NLR
R7W494,Community1,CC-NLR
A0A6I9RTD0,Community1,CC-NLR
A0A1B6QJR3,Community1,CC-NLR
A0A2S3IKL3,Community1,CC-NLR
A0A3L6EVZ3,Community1,CC-NLR
A0A811MJG8,Community1,CC-NLR
A0A811MVR1,Community1,CC-NLR
A0A0D3GJQ2,Community1,CC-NLR
A0A3B6NK98,Community1,CC-NLR
A0A0Q3F5V6,Community1,CC-NLR
A0A3B6SQ67,Community1,CC-NLR
A0A4U6SWU2,Community1,CC-NLR
A0A6P5EHD0,Community1,CC-NLR
A0A835KPR4,Community1,CC-NLR
A0A804IY76,Community1,CC-NLR
A0A0D9Z9M4,Community1,CC-NLR
A0A1Z5RFT1,Community1,CC-NLR
A0A5D2TZ52,Community1,CC-NLR
A0A833R1M9,Community1,CC-NLR
B8AKV7,Community1,CC-NLR
I1Q4G6,Community1,CC-NLR
I1Q5Z8,Community1,CC-NLR
J3LQC5,Community1,CC-NLR
Q10I27,Community1,CC-NLR
A0A6P6SGW3,Community1,CC-NLR
A0A6P8CLQ8,Community1,CC-NLR
A0A218W2E9,Community1,CC-NLR
A0A2I0HTN4,Community1,CC-NLR
A0A811QHZ4,Community1,CC-NLR
A0A811RA60,Community1,CC-NLR
A0A3B5XW10,Community1,CC-NLR
A0A067L528,Community1,CC-NLR
A0A5J5U186,Community1,CC-NLR
A0A6A6MZZ5,Community1,CC-NLR
A0A6P9ECY3,Community1,CC-NLR
A0A2T7CQM2,Community1,CC-NLR
A0A453GT29,Community1,CC-NLR
A0A251PX74,Community1,CC-NLR
A0A7N2RA99,Community1,CC-NLR
A0A453GZQ8,Community1,CC-NLR
A0A0E0MEG8,Community1,CC-NLR
A0A452Y0A1,Community1,CC-NLR
A0A453D0Y1,Community1,CC-NLR
A0A7H4LN86,Community1,CC-NLR
B8A944,Community1,CC-NLR
A0A5D2J9J6,Community1,CC-NLR
A0A1U8ATG5,Community1,CC-NLR
A0A5B7ACK2,Community1,CC-NLR
A0A5D2NWE0,Community1,CC-NLR
A0A804IFC4,Community1,CC-NLR
A0A811RAD8,Community1,CC-NLR
Q5Z9J2,Community1,CC-NLR
A0A3B6CFF6,Community1,CC-NLR
A0A835EJ50,Community1,CC-NLR
A0A0E0J207,Community1,CC-NLR
A0A3L6P982,Community1,CC-NLR
A0A0P0WT40,Community1,CC-NLR
A0A1V1GZX8,Community1,CC-NLR
A0A5D2MP04,Community1,CC-NLR
A0A811QLW7,Community1,CC-NLR
F2E3C2,Community1,CC-NLR
A0A453GK72,Community1,CC-NLR
F6H4R2,Community1,CC-NLR
M0UQT2,Community1,CC-NLR
A0A080YUD8,Community1,CC-NLR
A0A0E0C1V2,Community1,CC-NLR
A0A0E0MW71,Community1,CC-NLR
A0A0P0V2E8,Community1,CC-NLR
A0A125T4J8,Community1,CC-NLR
A0A1B6Q3I3,Community1,CC-NLR
A0A368SB81,Community1,CC-NLR
A0A3B5YRE9,Community1,CC-NLR
A0A3B6ER18,Community1,CC-NLR
A0A3B6ESS5,Community1,CC-NLR
A0A3B6SPK6,Community1,CC-NLR
A0A3B6SPP4,Community1,CC-NLR
A0A3B6SPR0,Community1,CC-NLR
A0A3B6SPR5,Community1,CC-NLR
A0A3B6TBC2,Community1,CC-NLR
A0A3B6TYW7,Community1,CC-NLR
A0A3B6TZI5,Community1,CC-NLR
A0A453GVC0,Community1,CC-NLR
A0A453T8W4,Community1,CC-NLR
A0A453T8Z7,Community1,CC-NLR
A0A453T916,Community1,CC-NLR
A0A453T921,Community1,CC-NLR
A0A453T936,Community1,CC-NLR
A0A5J9UBJ9,Community1,CC-NLR
B9EWQ0,Community1,CC-NLR
G7LED2,Community1,CC-NLR
I1IHW7,Community1,CC-NLR
K3Z382,Community1,CC-NLR
K3ZFG1,Community1,CC-NLR
M0VMQ4,Community1,CC-NLR
M8AFD6,Community1,CC-NLR
Q5ZAJ3,Community1,CC-NLR
Q5ZAJ6,Community1,CC-NLR
W5S6P9,Community1,CC-NLR
W5S716,Community1,CC-NLR
A0A1U9X3G6,Community1,CC-NLR
A0A218XJR2,Community1,CC-NLR
A0A0S3RS56,Community1,CC-NLR
V7B1K0,Community1,CC-NLR
A0A287VS04,Community1,CC-NLR
A0A2U1L1V0,Community1,CC-NLR
A0A453GK40,Community1,CC-NLR
A0A3B6R8T7,Community1,CC-NLR
A0A6A6L8G4,Community1,CC-NLR
A0A6A6L9T0,Community1,CC-NLR
M8BIK7,Community1,CC-NLR
M8CEW8,Community1,CC-NLR
A0A3B6RPI7,Community1,CC-NLR
M7YXU5,Community1,CC-NLR
A0A0D3GC69,Community1,CC-NLR
A0A0D3GCS8,Community1,CC-NLR
A0A0D3GFF5,Community1,CC-NLR
A0A0D9WPD9,Community1,CC-NLR
A0A0E0A896,Community1,CC-NLR
A0A0E0EQM4,Community1,CC-NLR
A0A0E0L7Q9,Community1,CC-NLR
A0A1P8CYR6,Community1,CC-NLR
A0A3B6I6C4,Community1,CC-NLR
A0A3B6I6D6,Community1,CC-NLR
A0A3B6I6I9,Community1,CC-NLR
A0A3B6RB50,Community1,CC-NLR
A0A3B6TIK6,Community1,CC-NLR
A0A453QED0,Community1,CC-NLR
A0A4V6Y8I2,Community1,CC-NLR
A0A6P6FMK2,Community1,CC-NLR
B9FRG9,Community1,CC-NLR
I1PZI8,Community1,CC-NLR
M7YPF1,Community1,CC-NLR
M7YWS5,Community1,CC-NLR
M8A5I9,Community1,CC-NLR
M8B3A1,Community1,CC-NLR
Q1WGA9,Community1,CC-NLR
Q5VP50,Community1,CC-NLR
A0A0D3GFG9,Community1,CC-NLR
A0A0K0WRF9,Community1,CC-NLR
A0A0D9XQH7,Community1,CC-NLR
A0A0E0LF60,Community1,CC-NLR
A0A0D3GKE2,Community1,CC-NLR
A0A0E0ADV6,Community1,CC-NLR
A0A1D6GUV2,Community1,CC-NLR
A0A6P5N6V0,Community1,CC-NLR
A0A835AD65,Community1,CC-NLR
A0A0K0WRD7,Community1,CC-NLR
A0A1U7ZEE4,Community1,CC-NLR
A0A835J636,Community1,CC-NLR
A0A368QTP2,Community1,CC-NLR
A0A6J1ITZ8,Community1,CC-NLR
A0A396HVA7,Community1,CC-NLR
A0A7I8KY79,Community1,CC-NLR
A0A3B6R7E0,Community1,CC-NLR
A0A3B6RB52,Community1,CC-NLR
A0A3B6TH35,Community1,CC-NLR
A0A0E0G7D1,Community1,CC-NLR
A0A453QED1,Community1,CC-NLR
A0A1P8CYR1,Community1,CC-NLR
A0A453QEC5,Community1,CC-NLR
A1XFD7,Community1,CC-NLR
N1R0I2,Community1,CC-NLR
Q0ZHC7,Community1,CC-NLR
A0A453QED5,Community1,CC-NLR
A0A453QED9,Community1,CC-NLR
A0A443N664,Community1,CC-NLR
A0A811NGD3,Community1,CC-NLR
A0A3B6TBH0,Community1,CC-NLR
A1XFD4,Community1,CC-NLR
A0A3B6I5F9,Community1,CC-NLR
A0A411DB82,Community1,CC-NLR
A1XFD5,Community1,CC-NLR
A1XFD6,Community1,CC-NLR
A0A1Z5RGG6,Community1,CC-NLR
A0A3B6I437,Community1,CC-NLR
A0A3L6PHX0,Community1,CC-NLR
A0A6P6UQF1,Community1,CC-NLR
A2YBU8,Community1,CC-NLR
J3MB82,Community1,CC-NLR
Q0H213,Community1,CC-NLR
C5Z8Z5,Community1,CC-NLR
A0A2N9IKP5,Community1,CC-NLR
A0A452XFM5,Community1,CC-NLR
A0A835DTN6,Community1,CC-NLR
B8B0N4,Community1,CC-NLR
I1H1E5,Community1,CC-NLR
A0A3B6RB44,Community1,CC-NLR
A2YBV3,Community1,CC-NLR
Q1WGB2,Community1,CC-NLR
Q2R0M3,Community1,CC-NLR
A0A4D6LK16,Community1,CC-NLR
A0A127ZNN7,Community1,CC-NLR
A0A7J0EEF2,Community1,CC-NLR
A0A059C3H0,Community1,CC-NLR
A0A067L127,Community1,CC-NLR
A0A4S4D8S6,Community1,CC-NLR
A0A0L9V907,Community1,CC-NLR
A0A151QYK7,Community1,CC-NLR
A0A059C1X1,Community1,CC-NLR
A0A059C2S7,Community1,CC-NLR
A0A068UD40,Community1,CC-NLR
A0A0L9U1Z6,Community1,CC-NLR
A0A0L9UBH4,Community1,CC-NLR
A0A0S3RR91,Community1,CC-NLR
A0A118JXS4,Community1,CC-NLR
A0A127ZNM8,Community1,CC-NLR
A0A161WQ34,Community1,CC-NLR
A0A1J3DJY9,Community1,CC-NLR
A0A1S3TT27,Community1,CC-NLR
A0A1S4BQQ2,Community1,CC-NLR
A0A1S4DK30,Community1,CC-NLR
A0A1U8EGF8,Community1,CC-NLR
A0A2G2V0G3,Community1,CC-NLR
A0A2G3ADH4,Community1,CC-NLR
A0A2G9G4I5,Community1,CC-NLR
A0A2K3PQJ8,Community1,CC-NLR
A0A2P6Q6Q1,Community1,CC-NLR
A0A3B6PT96,Community1,CC-NLR
A0A3Q7ICE6,Community1,CC-NLR
A0A443N9Q3,Community1,CC-NLR
A0A445FY75,Community1,CC-NLR
A0A4D6NJ35,Community1,CC-NLR
A0A4D6NKU2,Community1,CC-NLR
A0A5B7BL80,Community1,CC-NLR
A0A5N6PWK7,Community1,CC-NLR
A0A5N6PXT3,Community1,CC-NLR
A0A6P5RHC3,Community1,CC-NLR
A0A6P6V4K4,Community1,CC-NLR
A0A6P6VCI3,Community1,CC-NLR
A0A7J6FW64,Community1,CC-NLR
A0A067K300,Community1,CC-NLR
A0A087H1E3,Community1,CC-NLR
A0A0L9U1L4,Community1,CC-NLR
A0A5J5ATZ3,Community1,CC-NLR
A0A0L9UXD2,Community1,CC-NLR
A0A445FYV2,Community1,CC-NLR
A0A0R0F567,Community1,CC-NLR
A0A0S3RR42,Community1,CC-NLR
A0A1J6IEJ2,Community1,CC-NLR
A0A2I4ENJ4,Community1,CC-NLR
A0A3S3QGX5,Community1,CC-NLR
A0A443N9N8,Community1,CC-NLR
A0A5C7IZF7,Community1,CC-NLR
A0A1R3GQL2,Community1,CC-NLR
A0A1S3TW89,Community1,CC-NLR
A0A2P5FLL9,Community1,CC-NLR
A0A2P6QUM9,Community1,CC-NLR
A0A3S3M4H8,Community1,CC-NLR
A0A5D2ARW1,Community1,CC-NLR
A0A5D2ERQ5,Community1,CC-NLR
A0A5J5PIR3,Community1,CC-NLR
A0A6P6UYL7,Community1,CC-NLR
A0A6P6V870,Community1,CC-NLR
A0A6P6XDE6,Community1,CC-NLR
M1CEE5,Community1,CC-NLR
A0A5D2M5Y8,Community1,CC-NLR
A0A5J5AHV9,Community1,CC-NLR
A0A5J5PLI2,Community1,CC-NLR
A0A6G1CPF1,Community1,CC-NLR
A0A6J1AAF8,Community1,CC-NLR
A0A103XMI2,Community1,CC-NLR
A0A6A6N5R4,Community1,CC-NLR
A0A7J6DSW6,Community1,CC-NLR
A0A816JRA5,Community1,CC-NLR
J3MW58,Community1,CC-NLR
A0A1S3EBH4,Community1,CC-NLR
A0A0L9V7U7,Community1,CC-NLR
A0A251S3V7,Community1,CC-NLR
A0A2G5CV55,Community1,CC-NLR
A0A445E2B6,Community1,CC-NLR
V5UPN3,Community1,CC-NLR
A0A127ZNM6,Community1,CC-NLR
A0A1S3VT07,Community1,CC-NLR
A0A1S3YP59,Community1,CC-NLR
A0A6I9TSW1,Community1,CC-NLR
H6TDA0,Community1,CC-NLR
H6TDB5,Community1,CC-NLR
M1ADC4,Community1,CC-NLR
Q9XGF5,Community1,CC-NLR
V7AF13,Community1,CC-NLR
A0A1S3TW98,Community1,CC-NLR
I1MBG6,Community1,CC-NLR
A0A059C1F0,Community1,CC-NLR
A0A059C2R4,Community1,CC-NLR
A0A0A6ZJZ7,Community1,CC-NLR
A0A0B2QG33,Community1,CC-NLR
A0A1U8A240,Community1,CC-NLR
A0A2G2V0I1,Community1,CC-NLR
A0A2G2VZL4,Community1,CC-NLR
A0A2R6PAR1,Community1,CC-NLR
A0A5A7PAW6,Community1,CC-NLR
A0A5J5AJY6,Community1,CC-NLR
A0A7N2MYU3,Community1,CC-NLR
I1N4Z3,Community1,CC-NLR
A0A2C9U484,Community1,CC-NLR
A0A2C9U2H9,Community1,CC-NLR
A0A2C9U2N1,Community1,CC-NLR
A0A2C9U3F6,Community1,CC-NLR
A0A453DKA5,Community1,CC-NLR
A0A2C9U2N7,Community1,CC-NLR
A0A4Y7LAB0,Community1,CC-NLR
A0A2N9IKA9,Community1,CC-NLR
A0A7N2LCI6,Community1,CC-NLR
A0A445FYT8,Community1,CC-NLR
A0A445FYS2,Community1,CC-NLR
A0A6A3CDK1,Community1,CC-NLR
A0A068UYB3,Community1,CC-NLR
A0A068VG57,Community1,CC-NLR
A0A1E5VZ90,Community1,CC-NLR
A0A1U7XUW6,Community1,CC-NLR
A0A2P5EEK9,Community1,CC-NLR
A0A2P6Q6N5,Community1,CC-NLR
A0A314XSJ1,Community1,CC-NLR
A0A5C7IAY6,Community1,CC-NLR
A0A6A2Z559,Community1,CC-NLR
A0A6M2F7U2,Community1,CC-NLR
A0A6P5EE19,Community1,CC-NLR
A0A6P5FZM3,Community1,CC-NLR
A0A7J0F8U3,Community1,CC-NLR
A0A6A3C9G4,Community1,CC-NLR
A0A445GUJ4,Community1,CC-NLR
A0A6A6MY92,Community1,CC-NLR
A0A2C9VN66,Community1,CC-NLR
A0A6P6TTF2,Community1,CC-NLR
D7KLK8,Community1,CC-NLR
A0A061EJN2,Community1,CC-NLR
M4DPK7,Community1,CC-NLR
A0A6I9SMR7,Community1,CC-NLR
A0A445H8H7,Community1,CC-NLR
A0A068TWB0,Community1,CC-NLR
A0A6P4CK34,Community1,CC-NLR
A0A811NHQ7,Community1,CC-NLR
A0A4U6TPL0,Community1,CC-NLR
A0A835E0Y8,Community1,CC-NLR
C5X3E5,Community1,CC-NLR
A0A835D663,Community1,CC-NLR
A0A5A7PN35,Community1,CC-NLR
A0A5C7IKF9,Community1,CC-NLR
A0A5D2RBL1,Community1,CC-NLR
A0A5J4ZH33,Community1,CC-NLR
A0A6I9T403,Community1,CC-NLR
A0A6P3Z9A3,Community1,CC-NLR
A0A6P3ZE87,Community1,CC-NLR
A0A6P3ZYN2,Community1,CC-NLR
A0A6P4A595,Community1,CC-NLR
A0A6P4ACB0,Community1,CC-NLR
A0A3S3MYC7,Community1,CC-NLR
A0A6P5NA45,Community1,CC-NLR
A0A445A7A0,Community1,CC-NLR
A0A6P6X518,Community1,CC-NLR
A0A7I8JMG5,Community1,CC-NLR
A0A6P5RDK6,Community1,CC-NLR
A0A6J5U8M2,Community1,CC-NLR
A0A6P5RZ22,Community1,CC-NLR
A0A6I9SX60,Community1,CC-NLR
A0A314U604,Community1,CC-NLR
A0A2P6SI27,Community1,CC-NLR
A0A7N2M8I1,Community1,CC-NLR
M5Y417,Community1,CC-NLR
A0A6P6SJU8,Community1,CC-NLR
A0A6P8D079,Community1,CC-NLR
A0A6P8EP29,Community1,CC-NLR
A0A7J7GLZ1,Community1,CC-NLR
A0A7N2MZ10,Community1,CC-NLR
A0A7N2R2C8,Community1,CC-NLR
A0A1S3VWD4,Community1,CC-NLR
A0A2U1N8H9,Community1,CC-NLR
M1ALF1,Community1,CC-NLR
A0A0D9XCJ8,Community1,CC-NLR
A0A0J8E8N9,Community1,CC-NLR
A0A199UBA1,Community1,CC-NLR
A0A2K1WUF3,Community1,CC-NLR
A0A1E5US67,Community1,CC-NLR
K4A548,Community1,CC-NLR
A0A6J0PLS7,Community1,CC-NLR
A0A1S2YHP3,Community1,CC-NLR
A0A2P6RRE5,Community1,CC-NLR
A0A2P6RRG2,Community1,CC-NLR
A0A1S4B3A7,Community1,CC-NLR
A0A1J6HXC4,Community1,CC-NLR
A0A1S4B1S4,Community1,CC-NLR
A0A2G9GZ16,Community1,CC-NLR
K4D4S4,Community1,CC-NLR
A0A1J6JWY9,Community1,CC-NLR
A0A1S4ASH1,Community1,CC-NLR
A0A1U7VPJ3,Community1,CC-NLR
A0A2G2WAY4,Community1,CC-NLR
A0A1U7X5Y2,Community1,CC-NLR
A0A1U7XH44,Community1,CC-NLR
A0A218W1A0,Community1,CC-NLR
A0A6P8D0R1,Community1,CC-NLR
A0A368SB18,Community1,CC-NLR
A0A1B6QLE6,Community1,CC-NLR
A0A3B5Z6H0,Community1,CC-NLR
A0A835E6W6,Community1,CC-NLR
A0A6P5H7I6,Community1,CC-NLR
A0A2S3HFA8,Community1,CC-NLR
A0A2S3HF74,Community1,CC-NLR
A0A3B6MX33,Community1,CC-NLR
A0A3L6RE76,Community1,CC-NLR
A0A3Q7FYK2,Community1,CC-NLR
A0A6P6TZ09,Community1,CC-NLR
I1Q7A8,Community1,CC-NLR
Q0ZHC6,Community1,CC-NLR
A0A6P6TWW7,Community1,CC-NLR
A0A830BI83,Community1,CC-NLR
V7BI74,Community1,CC-NLR
A0A059C807,Community1,CC-NLR
A0A2Z6MDU5,Community1,CC-NLR
A0A5D2IYW0,Community1,CC-NLR
A0A835KPW1,Community1,CC-NLR
A0A3L6DXL4,Community1,CC-NLR
W5D5S4,Community1,CC-NLR
A0A0E0LRR5,Community1,CC-NLR
A0A1E5UNW0,Community1,CC-NLR
A0A3B6ERE7,Community1,CC-NLR
A0A2T8KNG9,Community1,CC-NLR
A0A3B6FWI7,Community1,CC-NLR
A0A2T7EMN7,Community1,CC-NLR
A0A3B6BXN3,Community1,CC-NLR
I1IV34,Community1,CC-NLR
A0A3B6R6E8,Community1,CC-NLR
S5A5T8,Community1,CC-NLR
A0A3B6TDR7,Community1,CC-NLR
F2E6N6,Community1,CC-NLR
A0A3B6TJL5,Community1,CC-NLR
A0A452ZYJ9,Community1,CC-NLR
A0A3B6QM29,Community1,CC-NLR
A0A453QA95,Community1,CC-NLR
A0A2T7CRC6,Community1,CC-NLR
A0A835KNL9,Community1,CC-NLR
N1R562,Community1,CC-NLR
A0A453QQI9,Community1,CC-NLR
A0A4U6TT58,Community1,CC-NLR
A0A811RAN1,Community1,CC-NLR
A0A811RAZ4,Community1,CC-NLR
A0A834ZYH4,Community1,CC-NLR
A0A453GY81,Community1,CC-NLR
A0A835A295,Community1,CC-NLR
A0A835FBW8,Community1,CC-NLR
A0A2S3GX86,Community1,CC-NLR
A0A835E389,Community1,CC-NLR
K3XE98,Community1,CC-NLR
Q7EYU0,Community1,CC-NLR
A0A0E0ND73,Community1,CC-NLR
R7W2R1,Community1,CC-NLR
A0A3L6S285,Community1,CC-NLR
A0A1D6F6L7,Community1,CC-NLR
A0A1D6LLG8,Community1,CC-NLR
B2Y824,Community1,CC-NLR
M7ZA84,Community1,CC-NLR
A0A3B6DN64,Community1,CC-NLR
A0A2T7EGN4,Community1,CC-NLR
A0A368S9D4,Community1,CC-NLR
A0A4U6TL43,Community1,CC-NLR
A0A4U6VPB9,Community1,CC-NLR
Q8LLA3,Community1,CC-NLR
A0A3L6PYR5,Community1,CC-NLR
A0A3L6SYM2,Community1,CC-NLR
A0A291B3W4,Community1,CC-NLR
A0A2K2CV06,Community1,CC-NLR
A0A2S3HDS0,Community1,CC-NLR
A0A2S3HE11,Community1,CC-NLR
A0A3B6ERD2,Community1,CC-NLR
A0A291B3V6,Community1,CC-NLR
A0A3B6QNU5,Community1,CC-NLR
A0A3B6U7C8,Community1,CC-NLR
M7ZU81,Community1,CC-NLR
M8BQ10,Community1,CC-NLR
A0A1B6P5Z3,Community1,CC-NLR
A0A1B6PBW2,Community1,CC-NLR
A0A3B6H2H7,Community1,CC-NLR
A0A3B6NVU4,Community1,CC-NLR
A0A3B6Q8V6,Community1,CC-NLR
A0A453Q793,Community1,CC-NLR
A0A453Q7A4,Community1,CC-NLR
A0A3B6NY30,Community1,CC-NLR
A0A0E0J4I7,Community1,CC-NLR
M7YFA9,Community1,CC-NLR
A0A453GSJ1,Community1,CC-NLR
A2ZKB7,Community1,CC-NLR
R7WF98,Community1,CC-NLR
A0A0E0ML90,Community1,CC-NLR
A0A0E0R6J9,Community1,CC-NLR
A0A2T8KNH2,Community1,CC-NLR
A0A811RZ93,Community1,CC-NLR
A0A811SML3,Community1,CC-NLR
I1HW41,Community1,CC-NLR
A0A3B5Y726,Community1,CC-NLR
A0A0E0RB55,Community1,CC-NLR
A0A2T8KMZ0,Community1,CC-NLR
A0A1B6P6U4,Community1,CC-NLR
A0A291B3W2,Community1,CC-NLR
A0A3B6G067,Community1,CC-NLR
A0A2T7CLM1,Community1,CC-NLR
A0A2T8KMZ2,Community1,CC-NLR
A0A368R7H3,Community1,CC-NLR
A0A0D3GZK9,Community1,CC-NLR
A0A3B5XUV1,Community1,CC-NLR
A0A3B6U539,Community1,CC-NLR
A0A3B6CFW0,Community1,CC-NLR
A0A453Q705,Community1,CC-NLR
M7ZYS5,Community1,CC-NLR
A0A453Q227,Community1,CC-NLR
C5X9G6,Community1,CC-NLR
K3YEY1,Community1,CC-NLR
A0A3L6T894,Community1,CC-NLR
A0A811N5T8,Community1,CC-NLR
A0A3L6TBT7,Community1,CC-NLR
A0A0E0M2J1,Community1,CC-NLR
A0A0E0M2J3,Community1,CC-NLR
A0A0E0M2J0,Community1,CC-NLR
A0A2S3I177,Community1,CC-NLR
Q2L3E8,Community1,CC-NLR
A0A6P4C0Z1,Community1,CC-NLR
A0A445AC54,Community1,CC-NLR
A0A445EHW5,Community1,CC-NLR
A0A6P4CGA7,Community1,CC-NLR
G7LCF4,Community1,CC-NLR
A0A396IN58,Community1,CC-NLR
A0A2Z6N233,Community1,CC-NLR
A0A5E4FU66,Community1,CC-NLR
A0A6J5TGE6,Community1,CC-NLR
A0A6P5T9D5,Community1,CC-NLR
A0A251R1B7,Community1,CC-NLR
A0A2G5F8B7,Community1,CC-NLR
A0A059D1D2,Community1,CC-NLR
A0A059D1U6,Community1,CC-NLR
A0A068VKY6,Community1,CC-NLR
A0A0E0E557,Community1,CC-NLR
A0A0E0E558,Community1,CC-NLR
A0A164TV28,Community1,CC-NLR
A0A6P6VW38,Community1,CC-NLR
A0A540MZ66,Community1,CC-NLR
A0A6P6WR92,Community1,CC-NLR
A0A1S3C9H9,Community1,CC-NLR
Q2V727,Community1,CC-NLR
A0A1S3CHQ5,Community1,CC-NLR
A0A1S4DZS0,Community1,CC-NLR
A0A443N8J4,Community1,CC-NLR
A0A0D9ZP27,Community1,CC-NLR
A0A151SJF4,Community1,CC-NLR
A0A151SJI6,Community1,CC-NLR
A0A1S3TXN4,Community1,CC-NLR
A0A2Z6MQ51,Community1,CC-NLR
A0A816XAM0,Community1,CC-NLR
A0A251NV63,Community1,CC-NLR
A0A7J9AJ03,Community1,CC-NLR
A0A0D9XJC2,Community1,CC-NLR
A0A2P6QX84,Community1,CC-NLR
A0A2P6QYD6,Community1,CC-NLR
A0A2P6QXG8,Community1,CC-NLR
A0A843WL84,Community1,CC-NLR
A0A498KF57,Community1,CC-NLR
A0A5E4F8V7,Community1,CC-NLR
A0A067EG11,Community1,CC-NLR
A0A251QEG4,Community1,CC-NLR
A0A2G2YW43,Community1,CC-NLR
A0A6P5TH34,Community1,CC-NLR
A0A3L6QXZ9,Community1,CC-NLR
A0A1E5W112,Community1,CC-NLR
M1CJ87,Community1,CC-NLR
A0A1S4CZJ3,Community1,CC-NLR
A0A1U8LKZ7,Community1,CC-NLR
A0A6N2BEF4,Community1,CC-NLR
A0A6P6WZF2,Community1,CC-NLR
M0ZZC5,Community1,CC-NLR
M1AFG0,Community1,CC-NLR
M1AFG2,Community1,CC-NLR
M1AFG4,Community1,CC-NLR
M1AGA4,Community1,CC-NLR
M1AGA5,Community1,CC-NLR
M1CPJ0,Community1,CC-NLR
A0A6I9TWG1,Community1,CC-NLR
A0A5D2LYR5,Community1,CC-NLR
A0A6P6X2U7,Community1,CC-NLR
A0A068UVF8,Community1,CC-NLR
A0A7N2LAJ5,Community1,CC-NLR
A0A7N2LG76,Community1,CC-NLR
A0A6P6FP38,Community1,CC-NLR
A0A7N2N780,Community1,CC-NLR
A0A251R283,Community1,CC-NLR
A0A2K2AVY2,Community1,CC-NLR
A0A2N9GYG0,Community1,CC-NLR
A0A2P6RA89,Community1,CC-NLR
A0A2P6RAA5,Community1,CC-NLR
A0A2P6RAH7,Community1,CC-NLR
A0A368RPS0,Community1,CC-NLR
A0A1U8B4J9,Community1,CC-NLR
A0A1Z5RBP7,Community1,CC-NLR
A0A2S3I4H5,Community1,CC-NLR
A0A2T7DA11,Community1,CC-NLR
A0A2T7DA40,Community1,CC-NLR
A0A2T8IHX7,Community1,CC-NLR
A0A2T8IHZ0,Community1,CC-NLR
A0A396HUR5,Community1,CC-NLR
A0A453GK64,Community1,CC-NLR
A0A835FCH5,Community1,CC-NLR
C5YHN9,Community1,CC-NLR
A0A5A7TG70,Community1,CC-NLR
A0A6J5TGI8,Community1,CC-NLR
A0A7N2LWB7,Community1,CC-NLR
A0A2P6RAK1,Community1,CC-NLR
A0A498K9P8,Community1,CC-NLR
A0A165ZHT1,Community1,CC-NLR
A0A317YLX1,Community1,CC-NLR
A0A3B5Z0Q9,Community1,CC-NLR
A0A3B6TGQ0,Community1,CC-NLR
A0A3N7ENJ1,Community1,CC-NLR
A0A2P6Q2P5,Community1,CC-NLR
